1,1,2020-16-05,2020-25-05,1023
2,45,2020-17-05,,2291
3,30,2020-18-05,2020-27-06,5248
4,22,2020-20-05,2020-25-06,3298
5,12,2020-01-06,,9298
6,35,2020-06-06,2020-12-07,7298
7,27,2020-06-06,2020-12-08,1298
8,22,2020-07-06,,2298
9,38,2020-08-06,2020-12-08,4298
10,41,2020-10-08,2020-12-09,6298
11,14,2020-11-09,2020-20-09,5298
12,59,2020-11-09,,3271
13,71,2020-11-09,,6892
14,53,2020-13-09,2020-20-09,2916
15,34,2020-14-09,2020-22-09,5721
16,67,2020-14-09,2020-24-09,3276
17,8,2020-15-09,2020-24-09,7261
18,74,2020-16-09,2020-25-09,6290
19,68,2020-16-09,2020-30-09,6353
